"id","segment_code","sequence","type","batch_id/id","communication_flow","cnab_structure_id/id","cnab_payment_way_ids/id","requerid"
"cnab_itau_240_header","","0","Header","","Sending and Return","l10n_br_cnab_structure.cnab_itau_240","","True"
"cnab_itau_240_pagamentos_header","","1","Header","l10n_br_cnab_structure.cnab_itau_240_pagamentos","Sending and Return","cnab_itau_240","","True"
"cnab_itau_240_pagamentos_segmento_a","A","2","Segment","l10n_br_cnab_structure.cnab_itau_240_pagamentos","Sending and Return","cnab_itau_240","","True"
"cnab_itau_240_pagamentos_segmento_b","B","3","Segment","l10n_br_cnab_structure.cnab_itau_240_pagamentos","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_45","False"
"cnab_itau_240_pagamentos_trailer","","4","Trailer","l10n_br_cnab_structure.cnab_itau_240_pagamentos","Sending and Return","cnab_itau_240","","True"
"cnab_itau_240_boleto_header","","5","Header","l10n_br_cnab_structure.cnab_itau_240_boleto","Sending and Return","cnab_itau_240","","True"
"cnab_itau_240_boleto_segmento_j","J","6","Segment","l10n_br_cnab_structure.cnab_itau_240_boleto","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_31,cnab_itau_240_pay_way_30","False"
"cnab_itau_240_boleto_segmento_j52","J-52","7","Segment","l10n_br_cnab_structure.cnab_itau_240_boleto","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_31,cnab_itau_240_pay_way_30","False"
"cnab_itau_240_boleto_segmento_j52pix","J-52 PIX","8","Segment","l10n_br_cnab_structure.cnab_itau_240_boleto","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_47","False"
"cnab_itau_240_boleto_trailer","","9","Trailer","l10n_br_cnab_structure.cnab_itau_240_boleto","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_31,cnab_itau_240_pay_way_30","False"
"cnab_itau_240_conc_tributo_bc_header","","10","Header","l10n_br_cnab_structure.cnab_itau_240_conc_tributo_bc","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_91,cnab_itau_240_pay_way_17,cnab_itau_240_pay_way_13","False"
"cnab_itau_240_conc_tributo_bc_segmento_o","O","11","Segment","l10n_br_cnab_structure.cnab_itau_240_conc_tributo_bc","Sending and Return","cnab_itau_240","","False"
"cnab_itau_240_conc_tributo_bc_trailer","","12","Trailer","l10n_br_cnab_structure.cnab_itau_240_conc_tributo_bc","Sending and Return","cnab_itau_240","","False"
"cnab_itau_240_tributo_sem_bc_header","","13","Header","l10n_br_cnab_structure.cnab_itau_240_tributo_sem_bc","Sending and Return","cnab_itau_240","","False"
"cnab_itau_240_tributo_sem_bc_segmento_n","N","14","Segment","l10n_br_cnab_structure.cnab_itau_240_tributo_sem_bc","Sending and Return","cnab_itau_240","","True"
"cnab_itau_240_tributo_sem_bc_segmento_b","B","15","Segment","l10n_br_cnab_structure.cnab_itau_240_tributo_sem_bc","Sending and Return","cnab_itau_240","cnab_itau_240_pay_way_35","False"
"cnab_itau_240_tributo_sem_bc_trailer","","16","Trailer","l10n_br_cnab_structure.cnab_itau_240_tributo_sem_bc","Sending and Return","cnab_itau_240","","True"
"cnab_itau_240_trailer","","17","Trailer","","Sending and Return","cnab_itau_240","","True"
"cnab_bb_240_header","","0","Header","","Sending and Return","cnab_bb_240","","True"
"cnab_bb_240_pagamentos_header","","1","Header","l10n_br_cnab_structure.cnab_bb_240_pagamentos","Sending and Return","cnab_bb_240","","True"
"cnab_bb_240_pagamentos_segmento_a","A","2","Segment","l10n_br_cnab_structure.cnab_bb_240_pagamentos","Sending and Return","cnab_bb_240","cnab_bb_240_pay_way_01,cnab_bb_240_pay_way_02,cnab_bb_240_pay_way_03,cnab_bb_240_pay_way_05,cnab_bb_240_pay_way_06,cnab_bb_240_pay_way_07,cnab_bb_240_pay_way_10,cnab_bb_240_pay_way_30,cnab_bb_240_pay_way_32,cnab_bb_240_pay_way_41,cnab_bb_240_pay_way_43,cnab_bb_240_pay_way_45,cnab_bb_240_pay_way_60","True"
"cnab_bb_240_pagamentos_segmento_b","B","3","Segment","l10n_br_cnab_structure.cnab_bb_240_pagamentos","Sending and Return","cnab_bb_240","cnab_bb_240_pay_way_03,cnab_bb_240_pay_way_07,cnab_bb_240_pay_way_41,cnab_bb_240_pay_way_43,cnab_bb_240_pay_way_45","True"
"cnab_bb_240_pagamentos_trailer","","4","Trailer","l10n_br_cnab_structure.cnab_bb_240_pagamentos","Sending and Return","cnab_bb_240","","True"
"cnab_bb_240_boleto_header","","5","Header","l10n_br_cnab_structure.cnab_bb_240_boleto","Sending and Return","cnab_bb_240","","True"
"cnab_bb_240_boleto_segmento_j","J","6","Segment","l10n_br_cnab_structure.cnab_bb_240_boleto","Sending and Return","cnab_bb_240","cnab_bb_240_pay_way_30,cnab_bb_240_pay_way_31","False"
